objective,task_no,responsible,involved,time,funding,priority_area,source_page
1,1,MINDEF (EJERCITO),SUBDEFENSA - EMCO,2026-2030,Presupuesto Institucional vía Ley de Presupuesto,1,8
1,2,MINDEF (EJÉRCITO - ARMADA - FACH),SUBDEFENSA - EMCO,2027-2030,Presupuesto Institucional vía Ley de Presupuesto,1,8
1,3,MINDEF (ARMADA - FACH),SUBDEFENSA - EMCO - OPERADORES ANTARTICOS NACIONALES,2027-2030,Presupuesto Institucional vía Ley de Presupuesto,1,8
1,4,MINDEF (EJÉRCITO - ARMADA - FACH),SUBDEFENSA - EMCO - OPERADORES ANTARTICOS DE DEFENSA,2027-2030,Presupuesto Institucional vía Ley de Presupuesto,1,8
1,5,MINREL - DIVANTARTICA,SUBDEFENSA - OPERADORES DE DEFENSA - INACH - MMA,2026-2030,Presupuesto Institucional vía Ley de Presupuesto,1,8
1,6,INACH,,2026-2030,Por determinar,3,8
1,7,INACH,,2026-2030,Por determinar,3,8
1,8,INACH,,2026-2030,Por determinar,1 y 3,8
1,9,INACH,,2026-2030,Por determinar,3 y 4,8
1,10,INACH,,2026-2030,Por determinar,2 y 3,9
1,11,INACH,,2026-2030,Por determinar,1,9
1,12,MINDEF (EJÉRCITO - ARMADA - FACH),SUBDEFENSA - EMCO - OPERADORES ANTARTICOS DE DEFENSA - INACH,2027 - 2030,Presupuesto Institucional vía Ley de Presupuesto,1,9
1,13,MINDEF (EJÉRCITO - ARMADA - FACH),SUBDEFENSA - EMCO - OPERADORES ANTARTICOS DE DEFENSA - INACH,2027 - 2030,Presupuesto Institucional vía Ley de Presupuesto,1,9
1,14,MINDEF (EJÉRCITO - ARMADA),SUBDEFENSA - EMCO - OPERADORES ANTARTICOS DE DEFENSA,2027 - 2030,Presupuesto Institucional vía Ley de Presupuesto,1,9
1,15,MINDEF (ARMADA - CONA),EMCO - ARMADA - CONA,2026-2030,Presupuesto Institucional vía Ley de Presupuesto,1,9
1,16,MINDEF (EMCO),SUBDEFENSA - OPERADORES DE DEFENSA - INACH - MINREL - DIVANTARTICA,2026-2030,Ley de Presupuesto del Sector Público,1,9
1,17,MINDEF (FACH),FACH,2026-2027,Ley N° 21.174 (Capacidades Estratégicas entre el 2026-2031),1,9
1,18,MINDEF (FACH),FACH,2026 - 2030,Ley N° 21.174 (Capacidades Estratégicas entre el 2026-2031),1,9
1,19,MINDEF (ARMADA - FACH),MINDEF-EMCO,2026 - 2030,Ley de Presupuesto del Sector Público,1,9
2,1,SUBTEL - MINREL - DIVANTARTICA,,2026-2030,No requiere,2,10
2,2,MINREL - MINDEF,MINCIENCIA - MMA - SUBTURISMO-INACH,2026-2030,No requiere,2,10
2,3,MINREL - DIVANTARTICA,MINDEF,2026-2030,No requiere,1 y 2,10
2,4,MINREL - DIVANTARTICA,MINDEF - MMA - SUBTURISMO - INACH - GORE MAGALLANES,2026-2030,Presupuesto Institucional vía Ley de Presupuesto,2,10
2,5,MINREL - DIVANTARTICA - MMA,SUBDEFENSA - MINDEF - EMCO - OPERADORES DEFENSA - INACH - GORE MAGALLANES,2026-2030,Presupuesto Institucional vía Ley de Presupuesto,2,10
2,6,MINREL - DIVANTARTICA,SUBDEFENSA - MINDEF - EMCO - OPERADORES DEFENSA - INACH - MMA,2026-2030,Presupuesto Institucional vía Ley de Presupuesto,2,10
